Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
2016-01-13T13:48:41Z,empresa Colombiana con mercado EEUU,otro,5 - 10,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1 año,1 año,Java,empleado,universitario,si,no,si,pregrado,pesos,24864000,3600000,mi empleador,mi empleador,no tengo,no,0,no,25,ella,avanzado,Afrocolombiano o Afrodescendiente,0,Cali
2016-01-13T13:50:24Z,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,no,70 - 80%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Java,empleado,universitario,si,si,si,maestria,pesos,39000000,32400000,mi empleador,mi empleador,no tengo,no,0,no,28,el,básico,no,0,Pereira
2016-01-13T13:51:22Z,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,58800000,36100000,mi empleador,mi empleador,no tengo,no,0,si,26,el,intermedio,no,0,Medellín
2016-01-13T13:51:43Z,empresa Colombiana con mercado latinoamericano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,no,80 - 90%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,38000000,15000000,mi empleador,mi empleador,no tengo,no,0,no,29,el,intermedio,no,0,Bogotá
2016-01-13T13:53:25Z,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,30 - 40%,10 - 20%,10 - 20%,10 - 20%,3 - 5 años,5 - 10 años,Java,empleado,universitario,si,no,si,pregrado,pesos,52550000,53200000,mi empleador,mi empleador,no tengo,no,0,no,33,el,básico,no,0,Medellín
2016-01-13T13:53:37Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,5 - 10 años,PHP,empleado,universitario,no,no,no,pregrado,pesos,2400000,2000000,mi empleador,mi empleador,no tengo,si,12000000,no,36,Sr.,intermedio,no,3,Medellín
2016-01-13T13:53:56Z,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,70 - 80%,no tengo responsabilidades de este tipo,70 - 80%,no tengo responsabilidades gerenciales,2 años,5 - 10 años,Python,empleado,ningúno,no,no,no,bachiller,pesos,32400000,14400000,yo,yo,no tengo,no,0,si,24,el,intermedio,no,0,Bogotá
2016-01-13T13:57:30Z,empresa Colombiana con mercado global,otro,más de 10,no,60 - 70%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Java,empleado,técnico,si,no,si,pregrado,pesos,14000000,7200000,mi empleador,mi empleador,no tengo,no,0,no,21,el,intermedio,no,0,Medellín
2016-01-13T14:01:07Z,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,50 - 60%,50 - 60%,30 - 40%,50 - 60%,1 año,5 - 10 años,C#,empleado,universitario,si,no,si,pregrado,pesos,6500000,4700000,mi empleador,mi empleador,no tengo,no,0,si,29,el,intermedio,no,1,Bogotá
2016-01-13T14:03:48Z,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",1,si,40 - 50%,10 - 20%,20 - 30%,10 - 20%,1 año,5 - 10 años,Python,contratista,universitario,si,no,si,pregrado,pesos,60000000,54000000,yo,yo,5 - 10%,no,0,si,32,el,avanzado,no,0,Medellín
2016-01-13T14:04:38Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,80 - 90%,0 - 10%,0 - 10%,0 - 10%,menos de 1 año,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,4000000,1500000,mi empleador,mi empleador,no tengo,no,0,no,28,el,avanzado,no,0,Medellín
