Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
1/13/2016 21:40:59,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1 año,2 años,PHP,empleado,técnico,no,no,no,bachiller,pesos,"$14,200,000.00",$0.00,mi empleador,mi empleador,no tengo,no,0,no,23,el,básico,no,0,Medellín
1/13/2016 21:47:39,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,no,70 - 80%,10 - 20%,0 - 10%,0 - 10%,2 años,5 - 10 años,JavaScript,contratista,universitario,si,no,si,pregrado,dolares,"$57,600.00","$36,000.00",yo,yo,1 - 5%,no,0,si,27,el,intermedio,no,0,Barranquilla
1/13/2016 21:51:48,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,1 año,C#,empleado,universitario,si,no,si,pregrado,pesos,"$23,000,000.00","$14,400,000.00",mi empleador,mi empleador,no tengo,no,0,si,23,ella,avanzado,no,0,Medellín
1/13/2016 21:55:22,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,si,40 - 50%,10 - 20%,20 - 30%,10 - 20%,más de 15 años,más de 15 años,Java,empleado,universitario,si,no,si,pregrado,pesos,"$90,000,000.00","$400,000.00",mi empleador,mi empleador,mas de 20%,no,0,si,48,el,intermedio,no,2,BOGOTA
1/13/2016 21:55:29,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,2 años,10 - 15 años,Java,contratista,universitario,si,no,si,pregrado,dolares,"$51,870.00","$62,400,000.00",yo,yo,no tengo,no,0,si,34,el,avanzado,no,0,Medellín
1/13/2016 21:55:31,soy independiente (freelance),soy independiente,2 - 5,si,60 - 70%,20 - 30%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,C#,freelance,universitario,si,no,si,pregrado,dolares,"$12,000.00",$300.00,no tengo,no tengo,no tengo,soy independiente,4000,no,25,el,avanzado,no,0,Barranquilla
1/13/2016 21:55:34,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,90 - 100%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Ruby,contratista,universitario,si,no,si,pregrado,dolares,"$54,000.00","$50,000.00",yo,yo,no tengo,si,12000,si,27,el,avanzado,no,0,Medellin
1/13/2016 21:57:41,empresa Colombiana con mercado Colombiano,otro,más de 10,no,70 - 80%,10 - 20%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,2 años,C#,empleado,técnico,si,no,si,pregrado,pesos,"$12,000,000.00",$0.00,mi empleador,mi empleador,no tengo,si,1600000,si,22,el,intermedio,no,0,Cartagena
1/13/2016 22:02:46,empresa Colombiana con mercado global,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",menos de 1,no,70 - 80%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,empleado,técnico,no,no,si,pregrado,dolares,$700.00,"$1,200.00",yo,yo,no tengo,si,200,no,22,el,básico,no,0,Bogota
1/13/2016 22:12:59,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,30 - 40%,30 - 40%,20 - 30%,no tengo responsabilidades gerenciales,1 año,10 - 15 años,Erlang,contratista,ningúno,si,no,si,bachiller,pesos,"$33,600,000.00","$18,000,000.00",yo,yo,"tengo, pero no se cuanto",si,7000000,no,27,el,avanzado,no,0,Cali
